bid_notice_id,estimated_price,base_price,num_bidders,estimated_cost,Minimum Bid Amount Rate (MBAR),bid_rigging_label,Bid_Price_(1st_rank_Bidder),BAR_(1st_rank_Bidder),Firm_id_(1st_rank_Bidder),Bid_Price_(Competing_Bidder),BAR_(Competing_Bidder),Firm_id_(Competing_Bidder)
20090306992,1471673625.0,1483000000.0,6.0,1348181818.0,82.995,1.0,1234000000.0,0.21471004720162057,2018146253.0,1237300000.0,0.4372319622386982,1078669793.0
20090307019,1341443275.0,1325000000.0,6.0,1204545454.0,82.995,1.0,1143345500.0,3.2952264150943336,1078669793.0,1145539000.0,3.4607735849056525,3018140355.0
20090307040,954944875.0,957000000.0,6.0,870000000.0,82.995,1.0,811375000.0,1.7881765935214275,2148101868.0,812189400.0,1.8732758620689651,1078174705.0
20090307068,1876971875.0,1877000000.0,3.0,1706363636.0,82.995,1.0,1559317750.0,0.0799999999999983,2018146253.0,1599950000.0,2.244744272775705,1108110726.0
20090307090,1390542100.0,1390000000.0,4.0,1263636363.0,82.995,1.0,1157059300.0,0.24667625899279244,2018146253.0,1173192300.0,1.4073237410071897,1108110726.0
20110117524,1327773475.0,1321000000.0,5.0,1200909090.0,82.995,1.0,1104952890.0,0.6501847085541215,1288156136.0,1124089390.0,2.098822104466308,1108110726.0
20110117526,1009373800.0,1010000000.0,5.0,918181818.0,82.995,1.0,850000000.0,1.163415841584154,1108110726.0,888000000.0,4.925792079207923,3018140355.0
20110117535,928449100.0,924000000.0,5.0,840000000.0,82.995,1.0,776372000.0,1.0279437229437178,3018140355.0,800000000.0,3.5850865800865677,6088119904.0
20110117543,785977350.0,785000000.0,5.0,713636363.0,82.995,1.0,653595580.0,0.2655834394904417,1108110726.0,656504000.0,0.6360828025477758,3018140355.0
20120307584,872603100.0,879000000.0,5.0,799090909.0,82.995,1.0,746011200.0,1.8754436860068182,1078669793.0,747529000.0,2.0481171786120598,2018146253.0
20120307591,832355150.0,839000000.0,5.0,762727272.0,82.995,1.0,707958470.0,1.3862240762812803,1078669793.0,710000000.0,1.629553039332535,1078174705.0
20120307594,830717625.0,833000000.0,5.0,757272727.0,82.995,1.0,702900000.0,1.3867527010804395,2018146253.0,703135810.0,1.41506122448979,1078669793.0
20120307596,487567150.0,490000000.0,5.0,445454545.0,82.995,1.0,404680000.0,-0.4072448979591883,1078174705.0,406400000.0,-0.056224489795923205,2018146253.0
20120326145,839294775.0,843400000.0,5.0,766727272.0,82.995,1.0,713623000.0,1.6176393170500205,2148101868.0,714680000.0,1.7429653782309629,1288156136.0
20120326157,825476475.0,828750000.0,5.0,753409090.0,82.995,1.0,701577000.0,1.6598416289592706,1288156136.0,701831000.0,1.6904901960784287,3018140355.0
20120326168,822127700.0,816200000.0,5.0,742000000.0,82.995,1.0,700000000.0,2.7682933104631076,1288122335.0,665211000.0,-1.494019848076448,1078174705.0
20120525662,428473250.0,424000000.0,2.0,385454545.0,82.995,1.0,360400000.0,2.0049999999999955,1078174705.0,345564620.0,-1.493910377358489,1078669793.0
20120810084,250226250.0,250000000.0,4.0,227272727.0,87.745,1.0,225000000.0,2.2549999999999955,1288156136.0,230000000.0,4.2549999999999955,6088119904.0
20120810111,785097650.0,784000000.0,2.0,712727272.0,82.995,1.0,667750000.0,2.1771938775510193,1078669793.0,682000000.0,3.9947959183673447,1078174705.0
20130203255,2828762325.0,2838000000.0,4.0,2580000000.0,82.995,1.0,2414000000.0,2.0649013389711115,1078669793.0,2420000000.0,2.276317829457355,1108110726.0
20130203342,2607637500.0,2600000000.0,4.0,2363636363.0,82.995,1.0,2196669000.0,1.4922692307692245,1108110726.0,2203371000.0,1.7500384615384519,1078174705.0
20130203355,2402058275.0,2408000000.0,4.0,2189090909.0,82.995,1.0,2045000000.0,1.9302491694352142,1078174705.0,2047200000.0,2.021611295681055,1078669793.0
20130307374,2561120450.0,2565000000.0,3.0,2331818181.0,82.995,1.0,2180952000.0,2.032368421052624,2148101868.0,2107882000.0,-0.8163645224171603,3018140355.0
